"","Participant","Qnum","Sensitive","T/F","hasAbsolutelyReally","hasContraction","hasI","hasWe","hasYes","hasNAposT","hasNo","hasNot","isJustYes","isJustNo","noYesOrNo","specificDenial","thirdPersonPronouns","hasFalseStart","hasFilledPause","numFilledPauses","hasCuePhrase","numCuePhrases","hasHedgePhrase","numHedgePhrases","hasLaugh","complexity","numLaugh","DAL-wc","DAL-pleasant","DAL-activate","DAL-imagenary","specScores","duration"
"data","201","q13",TRUE,"T","0","1","1","0","0","1","1","0","0","0","0","0","0","1","1","6","1","19","1","2","1","1.0","1","0.873873873874","1.77957938144","1.67615257732","1.35670103093","1.000000","51.50147"
"data1","201","q8",FALSE,"T","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","4","1","5","1","1","0","1.0","0","0.888888888889","1.81058333333","1.56110416667","1.39166666667","0.979174","31.908522"
"data2","201","q11",FALSE,"T","0","1","1","0","1","1","1","0","0","0","0","0","0","0","1","8","1","11","1","4","1","1.0","2","0.816091954023","1.92776056338","1.6950028169","1.36901408451","0.999976","49.762176"
"data3","201","q9",FALSE,"T","0","1","1","0","1","0","0","0","0","0","0","0","0","1","1","4","1","5","1","1","0","1.0","0","0.842105263158","1.913671875","1.6565125","1.39375","0.819205","15.95596"
"data4","201","q12",TRUE,"T","1","1","1","0","0","1","1","0","0","0","0","0","1","1","1","8","1","20","1","8","1","1.0","1","0.893333333333","1.90057238806","1.67109477612","1.54925373134","1.000000","58.510002"
"data5","201","q17",FALSE,"F","1","1","1","0","0","1","0","1","0","0","1","0","0","0","1","4","1","5","1","6","0","1.0","0","0.933333333333","1.91575178571","1.63815535714","1.35357142857","0.991264","28.282037"
"data6","201","q18",FALSE,"F","1","1","1","0","0","0","1","1","0","0","0","0","1","0","1","6","1","18","1","7","1","1.0","5","0.833333333333","1.83874272727","1.75007909091","1.40363636364","1.000000","78.805972"
"data7","201","q19",FALSE,"T","0","1","1","0","0","1","0","1","0","0","1","0","0","0","1","2","1","3","1","2","0","1.0","0","0.928571428571","1.94954102564","1.69494615385","1.41025641026","0.775072","11.948136"
"data8","201","q22",FALSE,"T","0","1","1","1","1","1","0","0","0","0","0","0","1","1","1","9","1","14","1","1","0","1.0","0","0.875","1.81217368421","1.62593458647","1.36842105263","1.000000","61.57561"
"data9","201","q23",TRUE,"T","0","1","1","0","0","0","0","0","0","0","1","0","1","1","0","0","1","1","1","1","0","1.0","0","0.954545454545","1.87256190476","1.67574761905","1.31428571429","0.034574","8.739755"
"data10","201","q24",TRUE,"F","0","1","1","0","1","1","1","0","0","0","0","1","1","0","1","8","1","6","0","0","1","1.0","4","0.809523809524","1.83292156863","1.71908431373","1.42352941176","0.999221","48.530284"
"data11","201","q21",FALSE,"T","1","1","1","0","0","0","0","0","0","0","1","0","0","0","1","8","1","5","1","8","1","1.0","1","0.881720430108","1.96957804878","1.63262804878","1.45365853659","0.999998","40.954541"
"data12","201","q20",FALSE,"F","0","1","1","0","0","1","0","1","0","0","1","0","1","0","1","10","1","5","1","1","0","1.0","0","0.827160493827","1.81924776119","1.70789104478","1.51044776119","0.999945","50.560219"
"data13","201","q7",FALSE,"T","0","1","1","0","1","1","1","0","0","0","0","0","0","0","1","1","1","2","0","0","0","1.0","0","0.8","1.884775","1.794","1.25","0.002780","7.339153"
"data14","201","q5",TRUE,"T","0","1","1","0","1","1","1","0","0","0","0","0","1","1","1","8","1","17","1","14","0","1.0","0","0.890510948905","1.9164647541","1.68189016393","1.34590163934","1.000000","76.269568"
"data15","201","q3",FALSE,"T","0","1","1","0","0","0","0","0","0","0","1","0","1","1","1","6","1","6","1","6","0","1.0","0","0.85393258427","1.85285921053","1.63858552632","1.58947368421","0.999993","30.538768"
"data16","201","q1",FALSE,"F","1","1","1","0","0","1","1","1","0","0","0","0","1","1","1","16","1","22","1","3","0","1.0","0","0.853801169591","1.9164869863","1.69430821918","1.5397260274","1.000000","106.415625"
"data17","201","q4",FALSE,"T","1","1","1","0","0","0","0","0","0","0","1","0","1","1","1","7","1","4","1","3","0","1.0","0","0.872093023256","1.877752","1.64525066667","1.55733333333","0.999989","30.365177"
"data18","201","q15",TRUE,"T","1","1","1","0","0","1","1","0","0","0","0","1","1","1","1","13","1","20","1","10","1","1.0","3","0.87610619469","1.98026414141","1.72587222222","1.54444444444","1.000000","115.156824"
"data19","201","q16",TRUE,"F","1","1","1","0","1","0","1","1","0","0","0","0","1","1","1","10","1","11","1","12","0","1.0","0","0.848739495798","1.95839306931","1.70212376238","1.49702970297","1.000000","59.174968"
